ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
404,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/18/2000,10,NA,0.36,0.23,30.8,21,NA,NA,NA,NA
405,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/19/2000,10,NA,0.37,0.32,20.2,23.6,NA,NA,NA,NA
406,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/19/2000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/19/2000,10,NA,0.72,0.68,14.8,21.6,NA,NA,NA,NA
408,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/19/2000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/19/2000,10,NA,0.3,0.23,17.4,21.4,NA,NA,NA,NA
410,R19,Val Vista WTP treated water,srp,val vista-treated,10/19/2000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,field_blank,field blank,NA,field blank,10/19/2000,10,field blank,0.06,0.02,5.8,15.2,NA,NA,NA,NA
412,lab_blank,laboratory blank,NA,NA,10/19/2000,10,lab blank,0.01,NA,5,NA,NA,NA,NA,NA
413,R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/2000,10,NA,0.28,0.28,15.4,9.6,NA,NA,NA,NA
414,R10rain,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/28/2000,10,rain sample,0.36,0.34,24.8,21.8,NA,NA,NA,NA
415,R11rain,CAP Canal at Cross-connect,cap,cap @ x con,10/28/2000,10,rain sample,0.23,0.22,7.8,7.8,NA,NA,NA,NA
416,R25rain,verde river at beeline highway,verde,verde @ beeline,10/28/2000,10,rain sample,1.32,0.86,508,161,NA,NA,NA,"very turbid sample, rain previous week"
417,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/14/2000,11,NA,0.38,0.36,7.8,4.8,NA,NA,NA,NA
418,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/14/2000,11,NA,0.37,0.33,9.2,5.6,NA,NA,NA,NA
419,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/14/2000,11,NA,0.41,0.34,16,6,NA,NA,NA,NA
420,R3,Waddell Canal,cap,waddell canal,11/14/2000,11,NA,0.39,0.34,8.2,5.4,NA,NA,NA,NA
421,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,11,NA,0.33,0.33,7.2,5.2,NA,NA,NA,NA
422,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,11,field duplicate,0.33,0.31,8,7.4,NA,NA,NA,NA
423,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/14/2000,11,NA,0.46,0.45,25.4,12.6,NA,NA,NA,NA
424,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/14/2000,11,NA,0.35,0.35,28,19.6,NA,NA,NA,NA
425,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/14/2000,11,NA,0.33,0.31,34.8,19,NA,NA,NA,NA
426,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/14/2000,11,NA,0.36,0.34,36.6,19.4,NA,NA,NA,NA
427,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2000,11,NA,0.58,0.5,43.6,35.8,NA,NA,NA,NA
428,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2000,11,NA,0.43,0.42,32,26.2,NA,NA,NA,NA
429,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2000,11,field duplicate,0.41,0.39,32.2,23,NA,NA,NA,NA
430,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/2000,11,NA,0.52,0.44,32.8,25.2,NA,NA,NA,NA
431,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/2000,11,NA,0.33,0.31,18,12.4,NA,NA,NA,NA
432,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/2000,11,NA,0.37,0.29,5,3.6,NA,NA,NA,NA
433,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/2000,11,NA,0.25,0.24,28,10.2,NA,NA,NA,NA
434,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/2000,11,NA,0.26,0.25,21,9.4,NA,NA,NA,NA
435,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/16/2000,11,NA,0.31,0.26,31.4,8.8,NA,NA,NA,NA
436,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/16/2000,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/16/2000,11,NA,0.29,0.28,26.2,19.8,NA,NA,NA,NA
438,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/16/2000,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/16/2000,11,NA,0.34,0.31,17,10.6,NA,NA,NA,NA
440,R19,Val Vista WTP treated water,srp,val vista-treated,11/16/2000,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,field_blank,field blank,NA,field blank,11/16/2000,11,field blank,0.03,0.03,4.4,3.4,NA,NA,NA,NA
442,lab_blank,laboratory blank,NA,NA,11/16/2000,11,lab blank,0.04,NA,5.8,NA,NA,NA,NA,NA
443,R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/2000,11,NA,0.02,0.01,10.6,8.8,NA,NA,NA,NA
444,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/12/2000,12,NA,0.25,0.24,7.4,4.4,NA,NA,NA,NA
445,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/12/2000,12,NA,0.28,0.25,7.6,4.2,NA,NA,NA,NA
446,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/12/2000,12,NA,0.29,0.26,13.2,6.8,NA,NA,NA,NA
447,R3,Waddell Canal,cap,waddell canal,12/12/2000,12,NA,0.27,0.26,9.2,7,NA,NA,NA,NA
448,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/14/2000,12,NA,0.27,0.25,9.4,6.2,NA,NA,NA,NA
449,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,12/14/2000,12,field duplicate,0.27,0.25,9.4,7.2,NA,NA,NA,NA
450,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/12/2000,12,NA,0.23,0.23,34.4,25.6,NA,NA,NA,NA
451,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/12/2000,12,NA,0.29,0.25,28.8,21.4,NA,NA,NA,NA
452,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/12/2000,12,NA,0.38,0.28,47.6,25.6,NA,NA,NA,NA
453,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/12/2000,12,NA,0.29,0.25,39.6,24.4,NA,NA,NA,NA
454,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/13/2000,12,NA,0.45,0.45,39.8,35.2,NA,NA,NA,NA
455,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/13/2000,12,NA,0.37,0.35,30.2,25.6,NA,NA,NA,NA
456,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,12/13/2000,12,field duplicate,0.38,0.37,31.4,26.2,NA,NA,NA,NA
457,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/13/2000,12,NA,0.37,0.35,30,26.4,NA,NA,NA,NA
458,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/13/2000,12,NA,0.12,0.09,12.8,9.4,NA,NA,NA,NA
459,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/13/2000,12,NA,0.27,0.22,9.6,5.8,NA,NA,NA,NA
460,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/13/2000,12,NA,0.15,0.12,33.2,12.8,NA,NA,NA,NA
461,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/13/2000,12,NA,0.18,0.14,31.8,14.6,NA,NA,NA,NA
462,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/14/2000,12,NA,0.47,0.39,28.2,14.4,NA,NA,NA,NA
463,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/14/2000,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/14/2000,12,NA,0.49,0.48,20,13.8,NA,NA,NA,NA
465,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/14/2000,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/14/2000,12,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut down
467,R19,Val Vista WTP treated water,srp,val vista-treated,12/14/2000,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,field_blank,field blank,NA,field blank,12/14/2000,12,field blank,0,0,2.4,4.4,NA,NA,NA,NA
469,lab_blank,laboratory blank,NA,NA,12/14/2000,12,lab blank,0,NA,5.6,NA,NA,NA,NA,NA
470,R20,Verde River at Tangle,verde,verde abv horseshoe,12/30/2000,12,NA,0.09,0.06,0,0,NA,NA,NA,NA
471,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/16/2001,1,NA,0.36,0.33,2,1.6,NA,NA,NA,NA
472,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/16/2001,1,NA,0.36,0.31,2,0,NA,NA,NA,NA
473,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/16/2001,1,NA,0.35,0.33,3,0,NA,NA,NA,NA
474,R3,Waddell Canal,cap,waddell canal,1/16/2001,1,NA,0.4,0.37,0,0,NA,NA,NA,NA
475,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/18/2001,1,NA,0.35,0.34,0,0,NA,NA,NA,NA
476,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,1/18/2001,1,field duplicate,0.38,0.35,0,0,NA,NA,NA,NA
477,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/16/2001,1,NA,0.19,0.1,27.4,2,NA,NA,NA,NA
478,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/16/2001,1,NA,0.32,0.28,14.2,6,NA,NA,NA,NA
479,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/16/2001,1,NA,0.34,0.27,24.8,12,NA,NA,NA,NA
480,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/16/2001,1,NA,0.26,0.24,12.2,5.2,NA,NA,NA,NA
481,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/17/2001,1,NA,0.51,0.5,24.8,21.6,NA,NA,NA,NA
482,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/17/2001,1,NA,0.44,0.41,17.4,15.6,NA,NA,NA,NA
483,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,1/17/2001,1,field duplicate,0.42,0.42,13.4,9.6,NA,NA,NA,NA
484,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/17/2001,1,NA,0.48,0.38,15.6,9,NA,NA,NA,NA
485,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/17/2001,1,NA,0.19,0.17,0,0,NA,NA,NA,NA
486,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/17/2001,1,NA,0.34,0.32,0,0,NA,NA,NA,NA
487,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/17/2001,1,NA,0.22,0.19,12.8,1,NA,NA,NA,NA
488,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/17/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
489,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/18/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
490,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/18/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/18/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
492,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/18/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/18/2001,1,NA,0.22,0.22,6.8,0,NA,NA,NA,NA
494,R19,Val Vista WTP treated water,srp,val vista-treated,1/18/2001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,field_blank,field blank,NA,field blank,1/18/2001,1,field blank,0.02,0.004,0,0,NA,NA,NA,NA
496,lab_blank,laboratory blank,NA,NA,1/18/2001,1,lab blank,0.01,NA,0,NA,NA,NA,NA,NA
497,R20,Verde River at Tangle,verde,verde abv horseshoe,1/30/2001,1,NA,0.04,0.02,7.6,2,NA,NA,NA,NA
130,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/12/2000,1,NA,0.3,0.28,10,0,NA,NA,NA,NA
131,R3,Waddell Canal,cap,waddell canal,1/12/2000,1,NA,0.39,0.36,12.56,0,NA,NA,NA,NA
132,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/12/2000,1,NA,0.37,0.36,3.31,0,NA,NA,NA,NA
133,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/12/2000,1,NA,0.1,0.05,14.22,0,NA,NA,NA,NA
134,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/12/2000,1,NA,0.23,0.19,10.14,5.49,NA,NA,NA,NA
135,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/12/2000,1,NA,0.2,0.13,22.92,4.11,NA,NA,NA,NA
136,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/12/2000,1,NA,0.2,0.14,12.42,3.86,NA,NA,NA,NA
137,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/11/2000,1,NA,0.52,0.23,15.33,14.77,NA,NA,NA,NA
138,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/11/2000,1,NA,0.24,0.22,6.54,3.75,NA,NA,NA,NA
139,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/11/2000,1,NA,0.23,0.22,5.83,3.06,NA,NA,NA,NA
140,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/11/2000,1,NA,0.11,0.1,0,0,NA,NA,NA,NA
141,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/11/2000,1,NA,0.36,0.35,0,0,NA,NA,NA,NA
142,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/11/2000,1,NA,0.15,0.1,12.29,1.41,NA,NA,NA,sample taken on south canal
143,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
144,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
145,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut down
147,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/11/2000,1,NA,0.2,0.15,8.42,0,NA,NA,NA,NA
149,R19,Val Vista WTP treated water,srp,val vista-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,field_blank,field blank,NA,field blank,1/11/2000,1,field blank,NA,NA,NA,NA,NA,NA,NA,NA
151,lab_blank,laboratory blank,NA,NA,1/11/2000,1,lab blank,0.0025,NA,4.15,NA,NA,NA,NA,NA
152,R20,Verde River at Tangle,verde,verde abv horseshoe,1/30/2000,1,NA,0.11,0.04,3.2,3,NA,NA,NA,NA
153,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/15/2000,2,NA,0.4,0.35,7.4,2.4,NA,NA,NA,NA
154,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/15/2000,2,NA,0.34,0.32,5.2,2.8,NA,NA,NA,NA
155,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/15/2000,2,NA,0.29,0.29,1.2,0,NA,NA,NA,NA
156,R3,Waddell Canal,cap,waddell canal,2/15/2000,2,NA,0.4,0.39,3,0,NA,NA,NA,NA
157,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/15/2000,2,NA,0.4,0.37,7.2,0,NA,NA,NA,NA
158,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/15/2000,2,NA,0.37,0.2,91.4,16.6,NA,NA,NA,NA
159,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/15/2000,2,NA,0.18,0.15,15.8,4,NA,NA,NA,NA
160,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/15/2000,2,NA,0.21,0.14,20,5.6,NA,NA,NA,NA
161,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/15/2000,2,NA,0.24,0.2,26.6,10.6,NA,NA,NA,NA
162,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/14/2000,2,NA,0.23,0.2,23.4,16.1,NA,NA,NA,NA
163,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/14/2000,2,NA,0.24,0.19,8,4.2,NA,NA,NA,NA
164,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/14/2000,2,NA,0.26,0.2,17.8,6.4,NA,NA,NA,NA
165,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/14/2000,2,NA,0.16,0.14,6.4,4,NA,NA,NA,NA
166,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/14/2000,2,NA,0.41,0.37,3.2,0,NA,NA,NA,NA
167,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/14/2000,2,NA,0.15,0.13,15.8,9.4,NA,NA,NA,NA
168,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/14/2000,2,NA,0.34,0.27,13,0,NA,NA,NA,NA
169,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/16/2000,2,NA,0.32,0.22,29.2,5.2,NA,NA,NA,NA
170,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/16/2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/16/2000,2,NA,0.18,0.19,7.2,5.2,NA,NA,NA,NA
172,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/16/2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/16/2000,2,NA,0.41,0.29,22,0.8,NA,NA,NA,NA
174,R19,Val Vista WTP treated water,srp,val vista-treated,2/16/2000,2,NA,0.28,0.26,0.2,0.2,NA,NA,NA,NA
175,field_blank,field blank,NA,field blank,2/16/2000,2,field blank,NA,NA,NA,NA,NA,NA,NA,NA
176,lab_blank,laboratory blank,NA,NA,2/16/2000,2,lab blank,0.002,NA,1.35,NA,NA,NA,NA,NA
177,R20,Verde River at Tangle,verde,verde abv horseshoe,3/9/2000,3,NA,0.18,0.17,15.2,7.2,NA,NA,NA,NA
178,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/16/2000,3,NA,0.4,0.37,1.4,1,NA,NA,NA,NA
179,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/16/2000,3,NA,0.32,0.3,6,3.8,NA,NA,NA,NA
180,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/16/2000,3,NA,0.31,0.28,2.8,1.4,NA,NA,NA,NA
181,R3,Waddell Canal,cap,waddell canal,3/16/2000,3,NA,0.44,0.41,1.8,0.6,NA,NA,NA,NA
182,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,3,NA,0.42,0.39,4,0.4,NA,NA,NA,NA
183,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,3,field duplicate,0.39,0.38,3.2,0,NA,NA,NA,NA
184,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/16/2000,3,NA,0.36,0.14,101,9.8,NA,NA,NA,NA
185,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/16/2000,3,NA,0.19,0.13,27,5.2,NA,NA,NA,NA
186,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/16/2000,3,NA,0.29,0.24,43.8,16.2,NA,NA,NA,NA
187,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/16/2000,3,NA,0.27,0.14,34.8,8.4,NA,NA,NA,NA
188,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/17/2000,3,NA,0.21,0.19,19.6,16,NA,NA,NA,NA
189,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/17/2000,3,NA,0.24,0.19,8.2,4,NA,NA,NA,NA
190,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/17/2000,3,NA,0.48,0.22,85.6,14.6,NA,NA,NA,NA
191,R9Bturbid,Saguaro Lake near inlet,salt,saguaro-hypo,3/17/2000,3,extra sample,1.82,0.26,447.6,43,NA,NA,NA,sample taken at turbid layer - 40 m
192,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/17/2000,3,NA,0.21,0.18,10.2,5.6,NA,NA,NA,NA
193,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/17/2000,3,NA,0.46,0.37,7.2,0,NA,NA,NA,NA
194,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/17/2000,3,NA,0.25,0.15,40,7.4,NA,NA,NA,NA
195,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/17/2000,3,NA,0.33,0.25,27,3.2,NA,NA,NA,NA
196,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/15/2000,3,NA,0.5,0.41,30.8,4.2,NA,NA,NA,NA
197,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/15/2000,3,NA,0.44,0.4,11.8,4.6,NA,NA,NA,NA
199,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/15/2000,3,NA,0.36,0.36,4.2,0.2,NA,NA,NA,NA
201,field_blank,field blank,NA,field blank,3/15/2000,3,field blank,NA,NA,NA,NA,NA,NA,NA,NA
202,lab_blank,laboratory blank,NA,NA,3/15/2000,3,lab blank,0.03,NA,2.65,NA,NA,NA,NA,NA
203,R19,Val Vista WTP treated water,srp,val vista-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,R20,Verde River at Tangle,verde,verde abv horseshoe,3/30/2000,3,NA,0.14,0.11,12,0,NA,NA,NA,NA
205,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/13/2000,4,NA,0.44,0.41,2.8,0,NA,NA,NA,NA
206,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/13/2000,4,NA,0.29,0.23,2,0,NA,NA,NA,NA
207,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/13/2000,4,NA,0.3,0.26,0.6,0,NA,NA,NA,NA
208,R3,Waddell Canal,cap,waddell canal,4/13/2000,4,NA,0.36,0.32,2.8,0,NA,NA,NA,NA
209,R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/15/2000,4,NA,0.41,0.38,1,0,NA,NA,NA,NA
210,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,4/15/2000,4,field duplicate,0.4,0.37,0.6,0,NA,NA,NA,NA
211,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/13/2000,4,NA,0.33,0.18,54.2,7.4,NA,NA,NA,NA
212,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/13/2000,4,NA,0.19,0.15,7.4,0,NA,NA,NA,NA
213,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/13/2000,4,NA,0.2,0.14,8.6,0,NA,NA,NA,NA
214,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/13/2000,4,NA,0.23,0.18,18.2,5.8,NA,NA,NA,NA
215,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/14/2000,4,NA,0.26,0.22,13,2.4,NA,NA,NA,NA
216,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/14/2000,4,NA,0.26,0.22,5.6,0,NA,NA,NA,NA
217,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,4/14/2000,4,field duplicate,0.25,0.23,5,0,NA,NA,NA,NA
218,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/14/2000,4,NA,0.32,0.25,12.8,6.8,NA,NA,NA,NA
219,R9Bturbid,Saguaro Lake near inlet,salt,saguaro-hypo,4/14/2000,4,extra sample,1.78,NA,143.2,NA,NA,NA,NA,sample taken at turbid layer - 40 m
220,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/14/2000,4,NA,0.23,0.23,8,3.6,NA,NA,NA,NA
221,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/14/2000,4,NA,0.4,0.38,0,0,NA,NA,NA,NA
222,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/14/2000,4,NA,0.26,0.22,11,1.4,NA,NA,NA,NA
223,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/14/2000,4,NA,0.3,0.28,10,0,NA,NA,NA,NA
224,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/15/2000,4,NA,0.48,0.33,45.4,1.2,NA,NA,NA,NA
225,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/15/2000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/15/2000,4,NA,0.75,0.56,38,2,NA,NA,NA,NA
227,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/15/2000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/15/2000,4,NA,0.37,0.33,6.2,0.2,NA,NA,NA,NA
229,R19,Val Vista WTP treated water,srp,val vista-treated,4/15/2000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,field_blank,field blank,NA,field blank,4/15/2000,4,field blank,0.02,0.02,0,0,NA,NA,NA,NA
231,lab_blank,laboratory blank,NA,NA,4/15/2000,4,lab blank,0.02,NA,1.15,NA,NA,NA,NA,NA
232,R20,Verde River at Tangle,verde,verde abv horseshoe,4/30/2000,4,NA,0.15,0.1,11.6,0,NA,NA,NA,NA
233,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/16/2000,5,NA,0.49,0.44,11,9.6,NA,NA,NA,NA
234,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/16/2000,5,NA,0.3,0.4,9.6,8.8,NA,NA,NA,NA
